season,player,team,runs,balls,strike_rate,fours,sixes,boundary_pct,dot_balls,dot_pct
2013,CH Gayle,Royal Challengers Bengaluru,95,40,237.50,7,8,37.50,6,15.00
2018,AR Patel,Punjab Kings,12,12,100.00,0,1,8.33,3,25.00
2023,JM Sharma,Punjab Kings,89,43,206.98,4,8,27.91,10,23.26
2018,JC Archer,Rajasthan Royals,15,14,107.14,2,0,14.29,8,57.14
2017,KV Sharma,Mumbai Indians,26,15,173.33,4,1,33.33,6,40.00
2023,PWH de Silva,Royal Challengers Bengaluru,28,25,112.00,3,0,12.00,8,32.00
2017,Harbhajan Singh,Mumbai Indians,16,16,100.00,0,1,6.25,5,31.25
2017,JJ Roy,Gujarat Titans,14,7,200.00,1,1,28.57,1,14.29
2014,M Morkel,Kolkata Knight Riders,4,3,133.33,0,0,0.00,0,0.00
2017,UT Yadav,Kolkata Knight Riders,10,13,76.92,0,0,0.00,4,30.77
2018,SW Billings,Chennai Super Kings,49,26,188.46,3,3,23.08,4,15.38
2013,CH Morris,Chennai Super Kings,13,11,118.18,0,0,0.00,2,18.18
2017,SN Thakur,Lucknow Super Giants,0,3,0.00,0,0,0.00,3,100.00
2025,M Shahrukh Khan,Gujarat Titans,64,34,188.24,2,5,20.59,6,17.65
2017,SL Malinga,Mumbai Indians,7,3,233.33,0,1,33.33,1,33.33
2024,Mohammad Nabi,Mumbai Indians,12,14,85.71,0,1,7.14,5,35.71
2016,TG Southee,Mumbai Indians,27,14,192.86,1,2,21.43,3,21.43
2013,R Vinay Kumar,Royal Challengers Bengaluru,62,39,158.97,5,3,20.51,13,33.33
2019,AM Rahane,Rajasthan Royals,17,15,113.33,0,0,0.00,2,13.33
2023,BA Stokes,Chennai Super Kings,6,4,150.00,1,0,25.00,1,25.00
2023,Lalit Yadav,Delhi Capitals,22,24,91.67,3,0,12.50,10,41.67
2025,J Overton,Chennai Super Kings,15,7,214.29,1,1,28.57,1,14.29
2018,CA Lynn,Kolkata Knight Riders,9,5,180.00,1,0,20.00,0,0.00
2013,SPD Smith,Lucknow Super Giants,49,24,204.17,3,4,29.17,4,16.67
