Unnamed: 0,id,name,country,age,height,role,bat_style,bowl_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr,team,year,price,inflation,adj_price
478,276,Arshdeep Singh,india,,,bowler,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Kolkata Knight Riders,2016,15000000,1.55980021,23397003.14
66,387,F du Plessis,south africa,34.0,,batsman,right-handed-bat,right-arm-legbreak,7,1528,35.53,134.39,10,140,50,11,4571,35.99,136.37,37,421,166,0,2.25,0.0,0.0,0,16.0,0.0,0.0,Chennai Super Kings,2018,16000000,1.444252553,23108040.85
994,966,A Mishra,india,24.0,,bowler,left-handed-bat,left-arm-fast-medium,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Gujarat Titans,2024,22000000,1.0495,23089000.0
1046,213,CH Morris,south africa,28.0,,bowling-allrounder,right-handed-bat,right-arm-fast-medium,4,133,14.78,130.4,1,12,5,23,618,22.07,155.28,2,41,35,34,8.4,20.5,14.65,95,8.01,24.16,18.11,Rajasthan Royals,2015,14000000,1.6363864,22909409.6
201,93,CA Lynn,australia,24.0,,batsman,right-handed-bat,left-arm-orthodox,1,291,19.4,131.68,0,28,14,3,1329,34.08,140.64,10,132,66,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Kolkata Knight Riders,2014,13000000,1.745533373,22691933.85
156,730,WP Saha,india,38.0,,wk-batsman,right-handed-bat,,0,0,0.0,0.0,0,0,0,24,2934,24.25,127.57,13,296,87,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Gujarat Titans,2022,19000000,1.183086132,22478636.51
421,702,AF Milne,new zealand,30.0,,bowler,right-handed-bat,right-arm-fast,11,83,8.3,96.52,0,1,6,2,23,5.75,79.32,0,0,1,61,8.43,25.0,17.79,7,9.48,46.71,29.57,Chennai Super Kings,2022,19000000,1.183086132,22478636.51
627,701,MJ Santner,new zealand,30.0,,bowling-allrounder,left-handed-bat,left-arm-orthodox,31,725,16.86,120.24,1,55,24,5,70,11.67,98.6,0,4,3,120,7.04,22.18,18.9,15,6.92,28.13,24.4,Chennai Super Kings,2022,19000000,1.183086132,22478636.51
592,553,LH Ferguson,new zealand,28.0,,bowler,right-handed-bat,right-arm-fast,7,29,3.63,80.56,0,0,2,7,68,22.67,147.83,0,6,2,64,7.1,16.98,14.36,46,8.96,31.0,20.76,Kolkata Knight Riders,2019,16000000,1.389372345,22229957.52
935,881,PD Salt,england,27.0,,wk-batsman,right-handed-bat,right-arm-offbreak,5,1193,34.09,164.33,5,116,61,2,653,34.37,175.54,6,74,34,0,0.0,0.0,0.0,0,0.0,0.0,0.0,Delhi Capitals,2023,20000000,1.10879675,22175935.0
