id,name,country,age,height,role,bat_style,bowl_style,t20_no,t20_runs,t20_avg,t20_sr,t20_50,t20_4s,t20_6s,ipl_no,ipl_runs,ipl_avg,ipl_sr,ipl_50,ipl_4s,ipl_6s,t20_wkts,t20_bowl_econ,t20_bowl_avg,t20_bowl_sr,ipl_wkts,ipl_bowl_econ,ipl_bowl_avg,ipl_bowl_sr,team,year,price
267,MM Sharma,india,28.0,,bowler,right-handed-bat,right-arm-fast-medium,2,3,0.0,42.86,0,0,0,14,124,7.29,93.24,0,8,4,6,8.04,30.83,23.0,132,8.67,24.67,17.07,Punjab Kings,2016,65000000
38,MM Sharma,india,26.0,,bowler,right-handed-bat,right-arm-fast-medium,2,3,0.0,42.86,0,0,0,14,124,7.29,93.24,0,8,4,6,8.04,30.83,23.0,132,8.67,24.67,17.07,Chennai Super Kings,2014,20000000
299,IC Pandey,india,27.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,18,7.68,32.83,25.67,Lucknow Super Giants,2016,2000000
39,IC Pandey,india,25.0,,bowler,right-handed-bat,right-arm-fast-medium,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,18,7.68,32.83,25.67,Chennai Super Kings,2014,15000000
40,BW Hilfenhaus,australia,31.0,6.10266,bowler,right-handed-bat,right-arm-fast-medium,1,2,1.0,20.0,0,0,0,1,0,0.0,0.0,0,0,0,9,6.19,17.89,17.33,22,7.73,21.77,16.91,Chennai Super Kings,2014,10000000
277,JW Hastings,australia,31.0,6.39795,bowling-allrounder,right-handed-bat,right-arm-fast-medium,2,46,11.5,124.33,0,3,1,0,0,0.0,0.0,0,0,0,7,7.97,35.29,26.57,3,6.83,22.0,19.33,Kolkata Knight Riders,2016,13000000
41,JW Hastings,australia,29.0,6.39795,bowling-allrounder,right-handed-bat,right-arm-fast-medium,2,46,11.5,124.33,0,3,1,0,0,0.0,0.0,0,0,0,7,7.97,35.29,26.57,3,6.83,22.0,19.33,Chennai Super Kings,2014,5000000
308,S Badree,west indies,35.0,,bowler,right-handed-bat,right-arm-legbreak,10,43,7.17,66.16,0,1,1,0,13,2.6,56.53,0,0,0,56,6.18,21.07,20.46,11,7.42,29.0,23.45,Royal Challengers Bengaluru,2016,5000000
42,S Badree,west indies,33.0,,bowler,right-handed-bat,right-arm-legbreak,10,43,7.17,66.16,0,1,1,0,13,2.6,56.53,0,0,0,56,6.18,21.07,20.46,11,7.42,29.0,23.45,Chennai Super Kings,2014,3000000
343,MJ Henry,new zealand,26.0,,bowler,right-handed-bat,right-arm-fast-medium,3,24,6.0,88.89,0,2,1,0,0,0.0,0.0,0,0,0,27,8.3,23.67,17.11,2,10.65,90.5,51.0,Punjab Kings,2017,5000000
43,MJ Henry,new zealand,23.0,,bowler,right-handed-bat,right-arm-fast-medium,3,24,6.0,88.89,0,2,1,0,0,0.0,0.0,0,0,0,27,8.3,23.67,17.11,2,10.65,90.5,51.0,Chennai Super Kings,2014,3000000
44,M Manhas,india,35.0,,batting-allrounder,right-handed-bat,right-arm-offbreak,0,0,0.0,0.0,0,0,0,15,514,22.35,109.37,0,43,10,0,0.0,0.0,0.0,0,6.0,0.0,0.0,Chennai Super Kings,2014,3000000
1027,V Shankar,india,34.0,,batting-allrounder,right-handed-bat,right-arm-medium,0,101,25.25,138.36,0,11,5,16,1115,25.34,129.81,6,80,45,5,9.1,38.2,25.2,9,8.67,38.22,26.44,Chennai Super Kings,2025,12000000
737,V Shankar,india,31.0,,batting-allrounder,right-handed-bat,right-arm-medium,0,101,25.25,138.36,0,11,5,16,1115,25.34,129.81,6,80,45,5,9.1,38.2,25.2,9,8.67,38.22,26.44,Gujarat Titans,2022,14000000
403,V Shankar,india,27.0,,batting-allrounder,right-handed-bat,right-arm-medium,0,101,25.25,138.36,0,11,5,16,1115,25.34,129.81,6,80,45,5,9.1,38.2,25.2,9,8.67,38.22,26.44,Delhi Capitals,2018,32000000
320,V Shankar,india,25.0,,batting-allrounder,right-handed-bat,right-arm-medium,0,101,25.25,138.36,0,11,5,16,1115,25.34,129.81,6,80,45,5,9.1,38.2,25.2,9,8.67,38.22,26.44,Sunrisers Hyderabad,2016,3500000
45,V Shankar,india,23.0,,batting-allrounder,right-handed-bat,right-arm-medium,0,101,25.25,138.36,0,11,5,16,1115,25.34,129.81,6,80,45,5,9.1,38.2,25.2,9,8.67,38.22,26.44,Chennai Super Kings,2014,1000000
46,RG More,india,22.0,,bowler,right-handed-bat,right-arm-medium,0,0,0.0,0.0,0,0,0,1,2,0.0,100.0,0,0,0,0,0.0,0.0,0.0,1,10.11,59.0,35.0,Chennai Super Kings,2014,1000000
653,P Negi,india,28.0,,bowling-allrounder,left-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,9,365,14.04,126.3,0,27,16,1,5.33,16.0,18.0,34,7.87,27.62,21.06,Kolkata Knight Riders,2021,5000000
506,P Negi,india,25.0,,bowling-allrounder,left-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,9,365,14.04,126.3,0,27,16,1,5.33,16.0,18.0,34,7.87,27.62,21.06,Royal Challengers Bengaluru,2018,10000000
372,P Negi,india,24.0,,bowling-allrounder,left-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,9,365,14.04,126.3,0,27,16,1,5.33,16.0,18.0,34,7.87,27.62,21.06,Royal Challengers Bengaluru,2017,10000000
234,P Negi,india,23.0,,bowling-allrounder,left-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,9,365,14.04,126.3,0,27,16,1,5.33,16.0,18.0,34,7.87,27.62,21.06,Delhi Capitals,2016,85000000
48,P Negi,india,21.0,,bowling-allrounder,left-handed-bat,left-arm-orthodox,0,0,0.0,0.0,0,0,0,9,365,14.04,126.3,0,27,16,1,5.33,16.0,18.0,34,7.87,27.62,21.06,Chennai Super Kings,2014,1000000
218,KD Karthik,india,30.0,,wk-batsman,right-handed-bat,,22,686,26.38,142.62,1,71,28,50,4842,26.32,135.37,22,466,161,0,18.0,0.0,0.0,0,0.0,0.0,0.0,Royal Challengers Bengaluru,2015,105000000
291,KP Pietersen,england,36.0,6.4,batsman,right-handed-bat,right-arm-offbreak,5,1176,37.94,141.52,7,119,32,8,1001,35.75,134.73,4,91,40,1,10.6,53.0,30.0,7,7.41,30.71,24.86,Lucknow Super Giants,2016,35000000
