name,matched_name
km asif,KM Asif
sonu yadav,SA Yadav
himanshu sharma,H Sharma
avinash singh,Arshdeep Singh
manoj bhandage,MS Bhandage
will jacks,WG Jacks
reece topley,RJW Topley
rajan kumar,R Vinay Kumar
sanvir singh,Simarjeet Singh
harry brook,HC Brook
heinrich klaasen,H Klaasen
akeal hosein,AJ Hosein
mayank markande,M Markande
adil rashid,AU Rashid
anmolpreet singh,Arshdeep Singh
vivrant sharma,Vivrant Sharma
nitish kumar reddy,Nithish Kumar Reddy
mayank dagar,Mayank Dagar
mustafizur rahman,Mujeeb Ur Rahman
daryl mitchell,DJ Mitchell
sameer rizvi,Sameer Rizvi
rachin ravindra,R Ravindra
shardul thakur,SN Thakur
ricky bhui,RK Bhui
sumit kumar,Sumit Kumar
jhye richardson,JA Richardson
shai hope,SD Hope
rasikh dar salam,Rasikh Salam
kumar kushagra,Kumar Kushagra
tristan stubbs,T Stubbs
harry brook,HC Brook
kartik tyagi,Kartik Tyagi
spencer johnson,SH Johnson
manav suthar,MJ Suthar
robin minz,R Minz
sushant mishra,A Mishra
azmatullah omarzai,Azmatullah Omarzai
shahrukh khan,SN Khan
umesh yadav,UT Yadav
mujeeb ur rahman,Mujeeb Ur Rahman
angkrish raghuvanshi,A Raghuvanshi
sherfane rutherford,SE Rutherford
ramandeep singh,RK Singh
srikar bharat,KS Bharat
chetan sakariya,C Sakariya
ashton turner,AJ Turner
david willey,DJ Willey
manimaran siddharth,M Siddharth
shivam mavi,Shivam Mavi
arshin kulkarni,AA Kulkarni
arshad khan,Arshad Khan
shreyas gopal,S Gopal
shivalik sharma,Sandeep Sharma
anshul kamboj,A Kamboj
mohammad nabi,Mohammad Nabi
naman dhir,Naman Dhir
nuwan thushara,N Thushara
gerald coetzee,G Coetzee
chris woakes,CR Woakes
vishwanath singh,Virat Singh
ashutosh sharma,Abhishek Sharma
shashank singh,Simarjeet Singh
rilee rossouw,RR Rossouw
harshal patel,HV Patel
shubham dubey,SB Dubey
rovman powell,R Powell
nandre burger,N Burger
tom kohler-cadmore,T Kohler-Cadmore
lockie ferguson,LH Ferguson
tom curran,TK Curran
saurav chauhan,Saurav Chauhan
alzarri joseph,AS Joseph
swapnil singh,Simarjeet Singh
yash dayal,Yash Dayal
