name,team,year,price
yusuf pathan,sunrisers-hyderabad,2018,19000000
shreevats goswami,sunrisers-hyderabad,2018,10000000
mohammad nabi,sunrisers-hyderabad,2018,10000000
chris jordan,sunrisers-hyderabad,2018,10000000
basil thampi,sunrisers-hyderabad,2018,9500000
sachin baby,sunrisers-hyderabad,2018,2000000
bipul sharma,sunrisers-hyderabad,2018,2000000
mahedi hasan,sunrisers-hyderabad,2018,2000000
ricky bhui,sunrisers-hyderabad,2018,2000000
tanmay agarwal,sunrisers-hyderabad,2018,2000000
mohit sharma,chennai-super-kings,2019,50000000
ruturaj gaikwad,chennai-super-kings,2019,2000000
colin ingram,delhi-capitals,2019,64000000
axar patel,delhi-capitals,2019,50000000
hanuma vihari,delhi-capitals,2019,20000000
sherfane rutherford,delhi-capitals,2019,20000000
ishant sharma,delhi-capitals,2019,11000000
keemo paul,delhi-capitals,2019,5000000
jalaj saxena,delhi-capitals,2019,2000000
ankush bains,delhi-capitals,2019,2000000
nathu singh,delhi-capitals,2019,2000000
bandaru ayyappa,delhi-capitals,2019,2000000
varun chakravarthy,punjab-kings,2019,84000000
sam curran,punjab-kings,2019,72000000
mohammed shami,punjab-kings,2019,48000000
nicholas pooran,punjab-kings,2019,42000000
moises henriques,punjab-kings,2019,10000000
hardus viljoen,punjab-kings,2019,7500000
darshan nalkande,punjab-kings,2019,3000000
sarfaraz khan,punjab-kings,2019,2500000
arshdeep singh,punjab-kings,2019,2000000
agnivesh ayachi,punjab-kings,2019,2000000
murugan ashwin,punjab-kings,2019,2000000
carlos brathwaite,kolkata-knight-riders,2019,50000000
lockie ferguson,kolkata-knight-riders,2019,16000000
joe denly,kolkata-knight-riders,2019,10000000
harry gurney,kolkata-knight-riders,2019,7500000
nikhil naik,kolkata-knight-riders,2019,2000000
shrikant mundhe,kolkata-knight-riders,2019,2000000
prithvi raj yarra,kolkata-knight-riders,2019,2000000
anrich nortje,kolkata-knight-riders,2019,2000000
lasith malinga,mumbai-indians,2019,20000000
yuvraj singh,mumbai-indians,2019,10000000
anmolpreet singh,mumbai-indians,2019,8000000
pankaj jaswal,mumbai-indians,2019,2000000
rasikh dar salam,mumbai-indians,2019,2000000
jaydev unadkat,rajasthan-royals,2019,84000000
varun aaron,rajasthan-royals,2019,24000000
ashton turner,rajasthan-royals,2019,5000000
liam livingstone,rajasthan-royals,2019,5000000
shashank singh,rajasthan-royals,2019,3000000
riyan parag,rajasthan-royals,2019,2000000
manan vohra,rajasthan-royals,2019,2000000
shubham ranjane,rajasthan-royals,2019,2000000
shimron hetmyer,royal-challengers-bengaluru,2019,42000000
akshdeep nath,royal-challengers-bengaluru,2019,36000000
prayas barman,royal-challengers-bengaluru,2019,15000000
himmat singh,royal-challengers-bengaluru,2019,6500000
gurkeerat singh mann,royal-challengers-bengaluru,2019,5000000
heinrich klaasen,royal-challengers-bengaluru,2019,5000000
devdutt padikkal,royal-challengers-bengaluru,2019,2000000
milind kumar,royal-challengers-bengaluru,2019,2000000
jonny bairstow,sunrisers-hyderabad,2019,22000000
wriddhiman saha,sunrisers-hyderabad,2019,12000000
sam curran,chennai-super-kings,2020,55000000
josh hazlewood,chennai-super-kings,2020,20000000
