name,delivery_name
gurkeerat singh mann,Gurkeerat Singh
heinrich klaasen,H Klaasen
devdutt padikkal,D Padikkal
milind kumar,Sumit Kumar
jonny bairstow,JM Bairstow
wriddhiman saha,Ishan Kishan
sam curran,TK Curran
josh hazlewood,JR Hazlewood
ravisrinivasan sai kishore,R Sai Kishore
shimron hetmyer,SO Hetmyer
marcus stoinis,MP Stoinis
alex carey,AT Carey
jason roy,SP Jackson
chris woakes,CR Woakes
mohit sharma,Ankit Sharma
tushar deshpande,TU Deshpande
lalit yadav,Lalit Yadav
sheldon cottrell,SS Cottrell
chris jordan,CJ Jordan
james neesham,JDS Neesham
tajinder dhillon,
ishan porel,Abishek Porel
pat cummins,PJ Cummins
eoin morgan,EJG Morgan
varun chakravarthy,Vivrant Sharma
rahul tripathi,RA Tripathi
chris green,C Green
nikhil naik,
pravin tambe,S Aravind
manimaran siddharth,M Siddharth
nathan coulter-nile,NM Coulter-Nile
chris lynn,
digvijay deshmukh,
mohsin khan,Mohsin Khan
robin uthappa,RV Uthappa
jaydev unadkat,JD Unadkat
yashasvi jaiswal,Yash Dayal
kartik tyagi,Kartik Tyagi
tom curran,TK Curran
andrew tye,S Badree
anuj rawat,Anuj Rawat
david miller,DA Miller
aniruddha joshi,S Anirudha
akash maharaj singh,Akash Singh
chris morris,CH Morris
aaron finch,Shashank Singh
kane richardson,JA Richardson
dale steyn,DW Steyn
isuru udana,I Udana
shahbaz ahmed,Shahbaz Ahmed
josh philippe,JR Philippe
pavan deshpande,TU Deshpande
mitchell marsh,DJ Mitchell
priyam garg,Mayank Dagar
virat singh,Virat Singh
fabian allen,Anand Rajan
bavanaka sandeep,
sanjay yadav,R Sanjay Yadav
abdul samad,Abdul Samad
krishnappa gowtham,K Gowtham
moeen ali,Umran Malik
cheteshwar pujara,Ashwani Kumar
bhagath varma,Karim Janat
hari nishanth,Ishan Kishan
harishankar reddy,A Ashish Reddy
tom curran,TK Curran
steven smith,Mohit Rathee
sam billings,SW Billings
umesh yadav,Kuldeep Yadav
ripal patel,Urvil Patel
vishnu vinod,Vishnu Vinod
manimaran siddharth,M Siddharth
shakib al hasan,Shakib Al Hasan
harbhajan singh,Harbhajan Singh
ben cutting,BCJ Cutting
karun nair,Imran Tahir
pawan negi,Swapnil Singh
venkatesh iyer,
sheldon jackson,SP Jackson
vaibhav arora,
nathan coulter-nile,NM Coulter-Nile
adam milne,AF Milne
james neesham,JDS Neesham
yudhvir singh charak,Yuvraj Singh
marco jansen,M Jansen
arjun tendulkar,Arjun Tendulkar
jhye richardson,JA Richardson
riley meredith,RP Meredith
shahrukh khan,M Shahrukh Khan
moises henriques,MC Henriques
dawid malan,Umran Malik
fabian allen,Anand Rajan
jalaj saxena,Jalaj S Saxena
saurabh kumar,Kumar Kushagra
utkarsh singh,Yuvraj Singh
chris morris,CH Morris
chetan sakariya,C Sakariya
mustafizur rahman,Mustafizur Rahman
liam livingstone,LS Livingstone
kc cariappa,KC Cariappa
akash maharaj singh,Akash Singh
kuldeep yadav,Kuldeep Yadav
kyle jamieson,KA Jamieson
daniel christian,DT Christian
sachin baby,Sachin Baby
rajat patidar,RM Patidar
mohammad azharuddin,Azhar Mahmood
suyash prabhudessai,SS Prabhudessai
srikar bharat,KS Bharat
mujeeb ur rahman,Mujeeb Ur Rahman
jagadeesha suchith,N Jagadeesan
robin uthappa,RV Uthappa
dwayne bravo,DM Bravo
deepak chahar,DL Chahar
hari nishanth,Ishan Kishan
n jagadeesan,N Jagadeesan
km asif,KM Asif
tushar deshpande,TU Deshpande
chris jordan,CJ Jordan
maheesh theekshana,M Theekshana
rs hangargekar,RS Hangargekar
simarjeet singh,Simarjeet Singh
devon conway,DP Conway
dwaine pretorius,D Pretorius
mitchell santner,MJ Santner
adam milne,AF Milne
subhranshu senapati,
mukesh choudhary,Mukesh Choudhary
prashant solanki,Ishan Kishan
bhagath varma,Karim Janat
david warner,DA Warner
mitchell marsh,DJ Mitchell
mustafizur rahman,Mustafizur Rahman
shardul thakur,Arshad Khan
kuldeep yadav,Kuldeep Yadav
ashwin hebbar,R Ashwin
sarfaraz khan,Saurav Chauhan
kamlesh nagarkoti,KL Nagarkoti
srikar bharat,KS Bharat
mandeep singh,Ramandeep Singh
khaleel ahmed,Shahbaz Ahmed
lungi ngidi,L Ngidi
chetan sakariya,C Sakariya
yash dhull,Abdul Basith
vicky ostwal,
ripal patel,Urvil Patel
lalit yadav,Lalit Yadav
rovman powell,R Powell
tim seifert,TL Seifert
praveen dubey,P Dubey
mohammed shami,Mohammed Shami
david miller,DA Miller
jason roy,SP Jackson
wriddhiman saha,Ishan Kishan
matthew wade,
lockie ferguson,LH Ferguson
abhinav manohar,A Manohar
rahul tewatia,R Tewatia
ravisrinivasan sai kishore,R Sai Kishore
dominic drakes,
vijay shankar,V Shankar
jayant yadav,R Sanjay Yadav
darshan nalkande,DG Nalkande
yash dayal,Yash Dayal
sai sudharsan,B Sai Sudharsan
gurkeerat singh mann,Gurkeerat Singh
alzarri joseph,AS Joseph
varun aaron,VR Aaron
pradeep sangwan,Mandeep Singh
pat cummins,PJ Cummins
mohammad nabi,Mohammad Nabi
nitish rana,M Pathirana
sam billings,SW Billings
umesh yadav,Kuldeep Yadav
shivam mavi,Shivam Mavi
sheldon jackson,SP Jackson
ajinkya rahane,Umran Malik
rinku singh,Anureet Singh
anukul roy,S Kaul
alex hales,AD Hales
rasikh dar salam,Rasikh Salam
