season,player,team,wickets,balls,economy,dot_balls,dot_pct,boundaries_conceded,boundary_pct_conceded,wickets_z,economy_z,dot_pct_z,boundary_pct_conceded_z,impact_score,impact_score_pos,phase,name,year,adj_price,ROI,ROI_z
2024,SN Thakur,Chennai Super Kings,1,90,9.67,18,20.0,15,16.67,0.0629669451086748,0.3137864646017861,0.317899806068817,0.2065488689132456,-0.1025185859804206,0.8254865026170967,middle,SN Thakur,2024,44351870.0,1.861221415505359,0.018505269931298824
2024,Sumit Kumar,Delhi Capitals,0,12,12.5,2,16.67,4,33.33,0.0170545494031911,0.4036613133326059,0.2717709968352315,0.3546593985947711,-0.2867478072296828,0.6412572813678344,middle,Sumit Kumar,2024,11087967.5,5.783361841273745,0.057501311284925895
2024,T Stubbs,Delhi Capitals,3,12,7.5,6,50.0,2,16.67,0.1547917365196424,0.2448718279424649,0.7334746640290472,0.2065488689132456,0.2150227678515567,1.143027856449074,middle,T Stubbs,2024,5543983.75,20.61744600981332,0.20498979891760052
2024,TM Head,Sunrisers Hyderabad,0,10,19.2,2,20.0,6,60.0,0.0170545494031911,0.6164392237553948,0.317899806068817,0.5917607087151964,-0.4905517548219233,0.4374533337755939,middle,TM Head,2024,75398179.0,0.5801908475476496,0.005768571195288499
2024,UT Yadav,Gujarat Titans,1,12,15.0,3,25.0,6,50.0,0.0629669451086748,0.4830560560276764,0.3871622823955221,0.502858830154857,-0.2764175084714436,0.6515875801260738,middle,UT Yadav,2024,64310211.5,1.0131945843873855,0.01007372853160936
2024,Yash Dayal,Royal Challengers Bengaluru,3,48,7.5,16,33.33,5,10.42,0.1547917365196424,0.2448718279424649,0.5025535679558125,0.1509851948130335,0.1568591738496287,1.084864262447146,middle,Yash Dayal,2024,55439837.5,1.9568316058775357,0.019455878153555713
2025,A Nortje,Kolkata Knight Riders,1,18,10.0,7,38.89,5,27.78,0.0635224645024378,0.3088204877656271,0.5898716403275771,0.2921057518750819,-0.0332323517355882,0.894772736861929,middle,A Nortje,2025,68217500.0,1.311646918843301,0.013041103054985669
2025,A Zampa,Sunrisers Hyderabad,2,36,8.83,8,22.22,6,16.67,0.1089813811437599,0.2700325598278012,0.3690162016368606,0.1832064844237004,0.0215095874597169,0.9495146760572344,middle,A Zampa,2025,25188000.000000004,3.769710481408743,0.03748050040697287
2025,Abhishek Sharma,Sunrisers Hyderabad,0,36,11.67,8,22.22,11,30.56,0.0180635478611157,0.3641844532837204,0.3690162016368606,0.3193550735235824,-0.217418395048961,0.7105866935485563,middle,Abhishek Sharma,2025,3148500.0000000005,22.56905490070053,0.22439375001408227
2025,Abhishek Sharma,Sunrisers Hyderabad,0,36,11.67,8,22.22,11,30.56,0.0180635478611157,0.3641844532837204,0.3690162016368606,0.3193550735235824,-0.217418395048961,0.7105866935485563,middle,Abhishek Sharma,2025,39881000.00000001,1.7817674921605682,0.017715296053743338
2025,AK Markram,Lucknow Super Giants,3,54,8.67,11,20.37,7,12.96,0.1544402977850819,0.2647282278021157,0.3445061499525279,0.1468413825114929,0.0938614329193902,1.0218665215169076,middle,AK Markram,2025,20990000.000000004,4.868349316421665,0.04840376188975654
2025,Akash Deep,Lucknow Super Giants,1,30,13.0,7,23.33,10,33.33,0.0635224645024378,0.4082767132472318,0.3837222326474601,0.3465063760294624,-0.1855222792557832,0.742482809341734,middle,Akash Deep,2025,83960000.00000001,0.8843292155094497,0.00879247933900048
2025,Akash Madhwal,Rajasthan Royals,2,54,11.0,12,22.22,14,25.93,0.1089813811437599,0.3419725629261619,0.3690162016368606,0.2739722104902884,-0.0541955602322892,0.8738095283652281,middle,Akash Madhwal,2025,12594000.000000002,6.9383002093475294,0.06898433317429958
2025,Arshad Khan,Gujarat Titans,0,6,13.0,1,16.67,2,33.33,0.0180635478611157,0.4082767132472318,0.2954860465838626,0.3465063760294624,-0.2801815100368456,0.6478235785606716,middle,Arshad Khan,2025,102326250.0,0.6330961787035795,0.006294584610827998
2025,Arshad Khan,Gujarat Titans,0,6,13.0,1,16.67,2,33.33,0.0180635478611157,0.4082767132472318,0.2954860465838626,0.3465063760294624,-0.2801815100368456,0.6478235785606716,middle,Arshad Khan,2025,13643500.000000002,4.748221340276846,0.04720938458120998
2025,Arshdeep Singh,Punjab Kings,2,66,8.36,18,27.27,11,16.67,0.1089813811437599,0.2544510845023498,0.4359220183967957,0.1832064844237004,0.0540465127480586,0.982051601345576,middle,Arshdeep Singh,2025,188910000.00000003,0.5198515702427483,0.005168645466579047
2025,Arshdeep Singh,Punjab Kings,2,66,8.36,18,27.27,11,16.67,0.1089813811437599,0.2544510845023498,0.4359220183967957,0.1832064844237004,0.0540465127480586,0.982051601345576,middle,Arshdeep Singh,2025,3148500.0000000005,31.19109421456489,0.3101187279947427
2025,Arshdeep Singh,Punjab Kings,2,66,8.36,18,27.27,11,16.67,0.1089813811437599,0.2544510845023498,0.4359220183967957,0.1832064844237004,0.0540465127480586,0.982051601345576,middle,Arshdeep Singh,2025,3148500.0000000005,31.19109421456489,0.3101187279947427
2025,AS Roy,Kolkata Knight Riders,0,6,8.0,2,33.33,1,16.67,0.0180635478611157,0.2425163374445572,0.5162089985087178,0.1832064844237004,-0.048696345496097,0.8793087431014203,middle,AS Roy,2025,4198000.0,20.945896691315397,0.20825543323154092
2025,Ashwani Kumar,Mumbai Indians,6,72,10.92,16,22.22,17,23.61,0.2908170477090482,0.3393203969133191,0.3690162016368606,0.2512317694023311,0.2252277606435089,1.1532328492410262,middle,Ashwani Kumar,2025,3148500.0000000005,36.62800855140625,0.3641754708187983
2025,Azmatullah Omarzai,Punjab Kings,5,72,9.58,17,23.61,13,18.06,0.2453581310677262,0.2948966161982024,0.3874318620915754,0.1968311452479506,0.2089832332209097,1.1369883218184271,middle,Azmatullah Omarzai,2025,25188000.000000004,4.5140079475084445,0.044880708358919816
2025,B Kumar,Royal Challengers Bengaluru,2,30,12.8,8,26.67,9,30.0,0.1089813811437599,0.4016462982151249,0.4279728124451202,0.3138660015368341,-0.0922263234302908,0.8357787651672265,middle,B Kumar,2025,112821250.0,0.7407990650406961,0.00736542495655182
2025,DL Chahar,Mumbai Indians,0,12,9.5,3,25.0,2,16.67,0.0180635478611157,0.2922444501853596,0.4058475225462902,0.1832064844237004,-0.1215872784774671,0.8064178101200501,middle,DL Chahar,2025,97078750.0,0.8306841714793917,0.008259111298001935
2025,E Malinga,Sunrisers Hyderabad,5,78,9.85,20,25.64,16,20.51,0.2453581310677262,0.3038476764915468,0.4143266755614107,0.2208458351899745,0.2050878910387801,1.1330929796362974,middle,E Malinga,2025,12594000.000000002,8.99708575223358,0.08945389251010677
2025,Fazalhaq Farooqi,Rajasthan Royals,0,18,14.67,3,16.67,8,44.44,0.0180635478611157,0.4636406787653251,0.2954860465838626,0.4554056434808439,-0.3462525359415965,0.5817525526559207,middle,Fazalhaq Farooqi,2025,20990000.000000004,2.7715700460024806,0.027556448366382193
2025,G Coetzee,Gujarat Titans,2,48,9.0,16,33.33,8,16.67,0.1089813811437599,0.2756684126050922,0.5162089985087178,0.1832064844237004,0.0611587442994413,0.9891638328969586,middle,G Coetzee,2025,25188000.000000004,3.9271233638913703,0.039045584419405595
